مصدر,بسامد,بن ماضی,بسامد,اسم مفعول,بسامد,گذشته ساده ۱ مفرد,بسامد,گذشته ساده ۲ مفرد,بسامد,گذشته ساده ۳ مفرد,بسامد,گذشته ساده ۱ جمع ,بسامد,گذشته ساده ۲ جمع ,بسامد,گذشته ساده ۳ جمع ,بسامد,ماضی استمراری ۱ مفرد,بسامد,ماضی استمراری ۲ مفرد,بسامد,ماضی استمراری ۳ مفرد,بسامد,ماضی استمراری ۱ جمع,بسامد,ماضی استمراری ۲ جمع,بسامد,ماضی استمراری ۳ جمع,بسامد,حال کامل ۱ مفرد ,بسامد,حال کامل ۲ مفرد ,بسامد,حال کامل ۳ مفرد ,بسامد,حال کامل ۱ جمع ,بسامد,حال کامل ۲ جمع ,بسامد,حال کامل ۳ جمع ,بسامد,گذشته استمراری التزامی ۱ مفرد,بسامد,گذشته استمراری التزامی ۲ مفرد,بسامد,گذشته استمراری التزامی ۳ مفرد,بسامد,گذشته استمراری التزامی ۱ جمع,بسامد,گذشته استمراری التزامی ۲ جمع,بسامد,گذشته استمراری التزامی ۳ جمع,بسامد,بن مضارع,بسامد,مضارع ساده ۱ مفرد,بسامد,مضارع ساده ۲ مفرد,بسامد,مضارع ساده ۳ مفرد,بسامد,مضارع ساده ۱ جمع,بسامد,مضارع ساده ۲ جمع,بسامد,مضارع ساده ۳ جمع,بسامد,مضارع اخباری ۱مفرد,بسامد,مضارع اخباری ۲مفرد,بسامد,مضارع اخباری ۳مفرد,بسامد,مضارع اخباری ۱ جمع,بسامد,مضارع اخباری ۲ جمع,بسامد,مضارع اخباری ۳ جمع,بسامد,مضارع التزامی ۱ مفرد,بسامد,مضارع التزامی ۲ مفرد,بسامد,مضارع التزامی ۳ مفرد,بسامد,مضارع التزامی ۱ جمع,بسامد,مضارع التزامی ۲ جمع,بسامد,مضارع التزامی ۳ جمع,بسامد,حال استمراری التزامی ۱ مفرد ,بسامد,حال استمراری التزامی ۲ مفرد ,بسامد,حال استمراری التزامی ۳ مفرد ,بسامد,حال استمراری التزامی ۱ جمع ,بسامد,حال استمراری التزامی ۲ جمع ,بسامد,حال استمراری التزامی ۳ جمع ,بسامد,ماضی نقلی ۱ مفرد,بسامد,ماضی نقلی ۲ مفرد,بسامد,ماضی نقلی ۳ مفرد,بسامد,ماضی نقلی ۱ جمع,بسامد,ماضی نقلی ۲ جمع,بسامد,ماضی نقلی 3 جمع‌اند,بسامد,ماضی بعید ۱ مفرد,بسامد,ماضی بعید ۲ مفرد,بسامد,ماضی بعید ۳ مفرد,بسامد,ماضی بعید ۱ جمع,بسامد,ماضی بعید ۲ جمع,بسامد,ماضی بعید ۳ جمع‌بودند,بسامد,ماضی نقلی استمراری ۱ مفرد,بسامد,ماضی نقلی استمراری ۲ مفرد,بسامد,ماضی نقلی استمراری ۳ مفرد,بسامد,ماضی نقلی استمراری ۱ جمع,بسامد,ماضی نقلی استمراری ۲ جمع,بسامد,ماضی نقلی استمراری ۳ جمع,بسامد,امری,بسامد,ماضی ساده مجمول ۱ مفرد,بسامد,ماضی ساده مجمول ۲ مفرد,بسامد,ماضی ساده مجمول ۳ مفرد,بسامد,ماضی ساده مجمول ۱ جمع,بسامد,ماضی ساده مجمول ۲ جمع,بسامد,ماضی ساده مجمول ۳ جمع,بسامد,ماضی استمراری مجمول ۱ مفرد,بسامد,ماضی استمراری مجمول ۲ مفرد,بسامد,ماضی استمراری مجمول ۳ مفرد,بسامد,ماضی استمراری مجمول ۱ جمع,بسامد,ماضی استمراری مجمول ۲ جمع,بسامد,ماضی استمراری مجمول ۳ جمع,بسامد
گزاردن,83,گزارد,110,گزارده,75,گزاردم,11,گزاردی,0,گزارد,110,گزاردیم,5,گزاردید,0,گزاردند,42,می‌گزاردم,0,می‌گزاردی,0,می‌گزارد,21,می‌گزاردیم,2,می‌گزاردید,0,می‌گزاردند,0,گزارده‌باشم,0,گزارده‌باشی,1,گزارده‌باش,0,گزارده‌باشیم,0,گزارده‌باشید,0,گزارده‌باشند,0,داشتم‌می‌گزاردم,0,داشتی‌می‌گزاردی,0,داشت‌می‌گزارد,0,داشتیم‌می‌گزاردیم,0,داشتید‌می‌گزاردید,0,داشتند‌می‌گزاردند,0,گزار,755,گزارم,35,گزاری,1127,گزارد,110,گزاریم,23,گزارید,15,گزارند,35,می‌گزارم,14,می‌گزاری,0,می‌گزارد,21,می‌گزاریم,6,می‌گزارید,0,می‌گزارند,12,بگزارم,18,بگزاری,5,بگزارد,35,بگزاریم,17,بگزارید,11,بگزارند,22,دارم‌می‌گزارم,0,داری‌می‌گزاری,0,دارد‌می‌گزارد,0,داریم‌می‌گزاریم,0,دارید‌می‌گزارید,0,دارند‌می‌گزارند,0,گزارده‌ام,0,گزارده‌ای,0,گزارده‌است,4,گزارده‌ایم,0,گزارده‌اید,0,گزارده‌اند,0,گزارده‌بودم,1,گزارده‌بودی,0,گزارده‌بود,3,گزارده‌بودیم,0,گزارده‌بودید,0,گزارده‌بودند,2,‌می‌گزارده‌ام,0,‌می‌گزارده‌ای,0,‌می‌گزارده‌است,0,‌می‌گزارده‌ایم,0,‌می‌گزارده‌اید,0,‌می‌گزارده‌اند,0,بگزار,18,گزارده‌شدم,0,گزارده‌شدی,0,گزارده‌شد,2,گزارده‌شدیم,0,گزارده‌شدید,0,گزارده‌شدند,1,گزارده‌می‌شدم,0,گزارده‌می‌شدی,0,گزارده‌می‌شد,0,گزارده‌می‌شدیم,0,گزارده‌می‌شدید,0,گزارده‌می‌شدند,0,
گزاریدن,0,گزارید,15,گزاریده,0,گزاریدم,0,گزاریدی,0,گزارید,15,گزاریدیم,0,گزاریدید,0,گزاریدند,0,می‌گزاریدم,0,می‌گزاریدی,0,می‌گزارید,0,می‌گزاریدیم,0,می‌گزاریدید,0,می‌گزاریدند,0,گزاریده‌باشم,0,گزاریده‌باشی,0,گزاریده‌باش,0,گزاریده‌باشیم,0,گزاریده‌باشید,0,گزاریده‌باشند,0,داشتم‌می‌گزاریدم,0,داشتی‌می‌گزاریدی,0,داشت‌می‌گزارید,0,داشتیم‌می‌گزاریدیم,0,داشتید‌می‌گزاریدید,0,داشتند‌می‌گزاریدند,0,گزار,755,گزارم,35,گزاری,1127,گزارد,110,گزاریم,23,گزارید,15,گزارند,35,می‌گزارم,14,می‌گزاری,0,می‌گزارد,21,می‌گزاریم,6,می‌گزارید,0,می‌گزارند,12,بگزارم,18,بگزاری,5,بگزارد,35,بگزاریم,17,بگزارید,11,بگزارند,22,دارم‌می‌گزارم,0,داری‌می‌گزاری,0,دارد‌می‌گزارد,0,داریم‌می‌گزاریم,0,دارید‌می‌گزارید,0,دارند‌می‌گزارند,0,گزاریده‌ام,0,گزاریده‌ای,0,گزاریده‌است,0,گزاریده‌ایم,0,گزاریده‌اید,0,گزاریده‌اند,0,گزاریده‌بودم,0,گزاریده‌بودی,0,گزاریده‌بود,0,گزاریده‌بودیم,0,گزاریده‌بودید,0,گزاریده‌بودند,0,‌می‌گزاریده‌ام,0,‌می‌گزاریده‌ای,0,‌می‌گزاریده‌است,0,‌می‌گزاریده‌ایم,0,‌می‌گزاریده‌اید,0,‌می‌گزاریده‌اند,0,بگزار,18,گزاریده‌شدم,0,گزاریده‌شدی,0,گزاریده‌شد,0,گزاریده‌شدیم,0,گزاریده‌شدید,0,گزاریده‌شدند,0,گزاریده‌می‌شدم,0,گزاریده‌می‌شدی,0,گزاریده‌می‌شد,0,گزاریده‌می‌شدیم,0,گزاریده‌می‌شدید,0,گزاریده‌می‌شدند,0,
گزاییدن,0,گزایید,0,گزاییده,0,گزاییدم,0,گزاییدی,0,گزایید,0,گزاییدیم,0,گزاییدید,0,گزاییدند,0,می‌گزاییدم,0,می‌گزاییدی,0,می‌گزایید,0,می‌گزاییدیم,0,می‌گزاییدید,0,می‌گزاییدند,0,گزاییده‌باشم,0,گزاییده‌باشی,0,گزاییده‌باش,0,گزاییده‌باشیم,0,گزاییده‌باشید,0,گزاییده‌باشند,0,داشتم‌می‌گزاییدم,0,داشتی‌می‌گزاییدی,0,داشت‌می‌گزایید,0,داشتیم‌می‌گزاییدیم,0,داشتید‌می‌گزاییدید,0,داشتند‌می‌گزاییدند,0,گزا,24,گزام,0,گزای,5,گزاد,2,گزایم,0,گزاید,0,گزاند,1,می‌گزام,0,می‌گزای,0,می‌گزاد,0,می‌گزایم,0,می‌گزاید,0,می‌گزاند,0,بگزام,0,بگزای,0,بگزاد,0,بگزایم,0,بگزاید,0,بگزاند,0,دارم‌می‌گزام,0,داری‌می‌گزای,0,دارد‌می‌گزاد,0,داریم‌می‌گزایم,0,دارید‌می‌گزاید,0,دارند‌می‌گزاند,0,گزاییده‌ام,0,گزاییده‌ای,0,گزاییده‌است,0,گزاییده‌ایم,0,گزاییده‌اید,0,گزاییده‌اند,0,گزاییده‌بودم,0,گزاییده‌بودی,0,گزاییده‌بود,0,گزاییده‌بودیم,0,گزاییده‌بودید,0,گزاییده‌بودند,0,‌می‌گزاییده‌ام,0,‌می‌گزاییده‌ای,0,‌می‌گزاییده‌است,0,‌می‌گزاییده‌ایم,0,‌می‌گزاییده‌اید,0,‌می‌گزاییده‌اند,0,بگزا,0,گزاییده‌شدم,0,گزاییده‌شدی,0,گزاییده‌شد,0,گزاییده‌شدیم,0,گزاییده‌شدید,0,گزاییده‌شدند,0,گزاییده‌می‌شدم,0,گزاییده‌می‌شدی,0,گزاییده‌می‌شد,0,گزاییده‌می‌شدیم,0,گزاییده‌می‌شدید,0,گزاییده‌می‌شدند,0,
گزیدن,775,گزید,2570,گزیده,3494,گزیدم,114,گزیدی,9,گزید,2570,گزیدیم,89,گزیدید,4,گزیدند,1065,می‌گزیدم,2,می‌گزیدی,0,می‌گزید,29,می‌گزیدیم,3,می‌گزیدید,0,می‌گزیدند,18,گزیده‌باشم,0,گزیده‌باشی,0,گزیده‌باش,0,گزیده‌باشیم,0,گزیده‌باشید,0,گزیده‌باشند,1,داشتم‌می‌گزیدم,0,داشتی‌می‌گزیدی,0,داشت‌می‌گزید,0,داشتیم‌می‌گزیدیم,0,داشتید‌می‌گزیدید,0,داشتند‌می‌گزیدند,0,گزین,433,گزینم,78,گزینی,1196,گزیند,1287,گزینیم,203,گزینید,167,گزینند,1095,می‌گزینم,10,می‌گزینی,7,می‌گزیند,172,می‌گزینیم,14,می‌گزینید,7,می‌گزینند,125,بگزینم,4,بگزینی,2,بگزیند,19,بگزینیم,5,بگزینید,0,بگزینند,7,دارم‌می‌گزینم,0,داری‌می‌گزینی,0,دارد‌می‌گزیند,0,داریم‌می‌گزینیم,0,دارید‌می‌گزینید,0,دارند‌می‌گزینند,0,گزیده‌ام,0,گزیده‌ای,24,گزیده‌است,119,گزیده‌ایم,0,گزیده‌اید,0,گزیده‌اند,5,گزیده‌بودم,1,گزیده‌بودی,0,گزیده‌بود,88,گزیده‌بودیم,2,گزیده‌بودید,0,گزیده‌بودند,53,‌می‌گزیده‌ام,0,‌می‌گزیده‌ای,0,‌می‌گزیده‌است,0,‌می‌گزیده‌ایم,0,‌می‌گزیده‌اید,0,‌می‌گزیده‌اند,0,بگزین,15,گزیده‌شدم,3,گزیده‌شدی,0,گزیده‌شد,70,گزیده‌شدیم,7,گزیده‌شدید,1,گزیده‌شدند,31,گزیده‌می‌شدم,0,گزیده‌می‌شدی,0,گزیده‌می‌شد,0,گزیده‌می‌شدیم,0,گزیده‌می‌شدید,0,گزیده‌می‌شدند,0,
گساردن,0,گسارد,0,گسارده,0,گساردم,0,گساردی,0,گسارد,0,گساردیم,0,گساردید,0,گساردند,0,می‌گساردم,0,می‌گساردی,0,می‌گسارد,0,می‌گساردیم,0,می‌گساردید,0,می‌گساردند,0,گسارده‌باشم,0,گسارده‌باشی,0,گسارده‌باش,0,گسارده‌باشیم,0,گسارده‌باشید,0,گسارده‌باشند,0,داشتم‌می‌گساردم,0,داشتی‌می‌گساردی,0,داشت‌می‌گسارد,0,داشتیم‌می‌گساردیم,0,داشتید‌می‌گساردید,0,داشتند‌می‌گساردند,0,گسار,8,گسارم,0,گساری,72,گسارد,0,گساریم,0,گسارید,3,گسارند,0,می‌گسارم,0,می‌گساری,3,می‌گسارد,0,می‌گساریم,0,می‌گسارید,0,می‌گسارند,0,بگسارم,0,بگساری,0,بگسارد,1,بگساریم,0,بگسارید,0,بگسارند,0,دارم‌می‌گسارم,0,داری‌می‌گساری,0,دارد‌می‌گسارد,0,داریم‌می‌گساریم,0,دارید‌می‌گسارید,0,دارند‌می‌گسارند,0,گسارده‌ام,0,گسارده‌ای,0,گسارده‌است,0,گسارده‌ایم,0,گسارده‌اید,0,گسارده‌اند,0,گسارده‌بودم,0,گسارده‌بودی,0,گسارده‌بود,0,گسارده‌بودیم,0,گسارده‌بودید,0,گسارده‌بودند,0,‌می‌گسارده‌ام,0,‌می‌گسارده‌ای,0,‌می‌گسارده‌است,0,‌می‌گسارده‌ایم,0,‌می‌گسارده‌اید,0,‌می‌گسارده‌اند,0,بگسار,0,گسارده‌شدم,0,گسارده‌شدی,0,گسارده‌شد,0,گسارده‌شدیم,0,گسارده‌شدید,0,گسارده‌شدند,0,گسارده‌می‌شدم,0,گسارده‌می‌شدی,0,گسارده‌می‌شد,0,گسارده‌می‌شدیم,0,گسارده‌می‌شدید,0,گسارده‌می‌شدند,0,
گساریدن,0,گسارید,3,گساریده,1,گساریدم,0,گساریدی,0,گسارید,3,گساریدیم,0,گساریدید,0,گساریدند,0,می‌گساریدم,0,می‌گساریدی,0,می‌گسارید,0,می‌گساریدیم,0,می‌گساریدید,0,می‌گساریدند,0,گساریده‌باشم,1,گساریده‌باشی,0,گساریده‌باش,0,گساریده‌باشیم,0,گساریده‌باشید,0,گساریده‌باشند,0,داشتم‌می‌گساریدم,0,داشتی‌می‌گساریدی,0,داشت‌می‌گسارید,0,داشتیم‌می‌گساریدیم,0,داشتید‌می‌گساریدید,0,داشتند‌می‌گساریدند,0,گسار,8,گسارم,0,گساری,72,گسارد,0,گساریم,0,گسارید,3,گسارند,0,می‌گسارم,0,می‌گساری,3,می‌گسارد,0,می‌گساریم,0,می‌گسارید,0,می‌گسارند,0,بگسارم,0,بگساری,0,بگسارد,1,بگساریم,0,بگسارید,0,بگسارند,0,دارم‌می‌گسارم,0,داری‌می‌گساری,0,دارد‌می‌گسارد,0,داریم‌می‌گساریم,0,دارید‌می‌گسارید,0,دارند‌می‌گسارند,0,گساریده‌ام,0,گساریده‌ای,0,گساریده‌است,0,گساریده‌ایم,0,گساریده‌اید,0,گساریده‌اند,0,گساریده‌بودم,0,گساریده‌بودی,0,گساریده‌بود,0,گساریده‌بودیم,0,گساریده‌بودید,0,گساریده‌بودند,0,‌می‌گساریده‌ام,0,‌می‌گساریده‌ای,0,‌می‌گساریده‌است,0,‌می‌گساریده‌ایم,0,‌می‌گساریده‌اید,0,‌می‌گساریده‌اند,0,بگسار,0,گساریده‌شدم,0,گساریده‌شدی,0,گساریده‌شد,0,گساریده‌شدیم,0,گساریده‌شدید,0,گساریده‌شدند,0,گساریده‌می‌شدم,0,گساریده‌می‌شدی,0,گساریده‌می‌شد,0,گساریده‌می‌شدیم,0,گساریده‌می‌شدید,0,گساریده‌می‌شدند,0,
گستراندن,81,گستراند,161,گسترانده,112,گستراندم,1,گستراندی,1,گستراند,161,گستراندیم,1,گستراندید,0,گستراندند,15,می‌گستراندم,1,می‌گستراندی,0,می‌گستراند,90,می‌گستراندیم,0,می‌گستراندید,0,می‌گستراندند,2,گسترانده‌باشم,0,گسترانده‌باشی,0,گسترانده‌باش,0,گسترانده‌باشیم,0,گسترانده‌باشید,0,گسترانده‌باشند,0,داشتم‌می‌گستراندم,0,داشتی‌می‌گستراندی,0,داشت‌می‌گستراند,0,داشتیم‌می‌گستراندیم,0,داشتید‌می‌گستراندید,0,داشتند‌می‌گستراندند,0,گستران,63,گسترانم,2,گسترانی,5,گستراند,161,گسترانیم,3,گسترانید,31,گسترانند,35,می‌گسترانم,2,می‌گسترانی,0,می‌گستراند,90,می‌گسترانیم,3,می‌گسترانید,3,می‌گسترانند,30,بگسترانم,3,بگسترانی,7,بگستراند,213,بگسترانیم,26,بگسترانید,9,بگسترانند,81,دارم‌می‌گسترانم,0,داری‌می‌گسترانی,0,دارد‌می‌گستراند,0,داریم‌می‌گسترانیم,0,دارید‌می‌گسترانید,0,دارند‌می‌گسترانند,0,گسترانده‌ام,0,گسترانده‌ای,0,گسترانده‌است,29,گسترانده‌ایم,0,گسترانده‌اید,0,گسترانده‌اند,0,گسترانده‌بودم,0,گسترانده‌بودی,0,گسترانده‌بود,11,گسترانده‌بودیم,0,گسترانده‌بودید,0,گسترانده‌بودند,4,‌می‌گسترانده‌ام,0,‌می‌گسترانده‌ای,0,‌می‌گسترانده‌است,0,‌می‌گسترانده‌ایم,0,‌می‌گسترانده‌اید,0,‌می‌گسترانده‌اند,0,بگستران,11,گسترانده‌شدم,0,گسترانده‌شدی,0,گسترانده‌شد,3,گسترانده‌شدیم,0,گسترانده‌شدید,0,گسترانده‌شدند,0,گسترانده‌می‌شدم,0,گسترانده‌می‌شدی,0,گسترانده‌می‌شد,0,گسترانده‌می‌شدیم,0,گسترانده‌می‌شدید,0,گسترانده‌می‌شدند,0,
گسترانیدن,34,گسترانید,31,گسترانیده,85,گسترانیدم,1,گسترانیدی,2,گسترانید,31,گسترانیدیم,3,گسترانیدید,1,گسترانیدند,5,می‌گسترانیدم,0,می‌گسترانیدی,0,می‌گسترانید,3,می‌گسترانیدیم,0,می‌گسترانیدید,0,می‌گسترانیدند,0,گسترانیده‌باشم,0,گسترانیده‌باشی,0,گسترانیده‌باش,0,گسترانیده‌باشیم,0,گسترانیده‌باشید,0,گسترانیده‌باشند,0,داشتم‌می‌گسترانیدم,0,داشتی‌می‌گسترانیدی,0,داشت‌می‌گسترانید,0,داشتیم‌می‌گسترانیدیم,0,داشتید‌می‌گسترانیدید,0,داشتند‌می‌گسترانیدند,0,گستران,63,گسترانم,2,گسترانی,5,گستراند,161,گسترانیم,3,گسترانید,31,گسترانند,35,می‌گسترانم,2,می‌گسترانی,0,می‌گستراند,90,می‌گسترانیم,3,می‌گسترانید,3,می‌گسترانند,30,بگسترانم,3,بگسترانی,7,بگستراند,213,بگسترانیم,26,بگسترانید,9,بگسترانند,81,دارم‌می‌گسترانم,0,داری‌می‌گسترانی,0,دارد‌می‌گستراند,0,داریم‌می‌گسترانیم,0,دارید‌می‌گسترانید,0,دارند‌می‌گسترانند,0,گسترانیده‌ام,0,گسترانیده‌ای,0,گسترانیده‌است,24,گسترانیده‌ایم,0,گسترانیده‌اید,0,گسترانیده‌اند,0,گسترانیده‌بودم,0,گسترانیده‌بودی,0,گسترانیده‌بود,8,گسترانیده‌بودیم,0,گسترانیده‌بودید,0,گسترانیده‌بودند,2,‌می‌گسترانیده‌ام,0,‌می‌گسترانیده‌ای,0,‌می‌گسترانیده‌است,0,‌می‌گسترانیده‌ایم,0,‌می‌گسترانیده‌اید,0,‌می‌گسترانیده‌اند,0,بگستران,11,گسترانیده‌شدم,0,گسترانیده‌شدی,0,گسترانیده‌شد,2,گسترانیده‌شدیم,0,گسترانیده‌شدید,0,گسترانیده‌شدند,0,گسترانیده‌می‌شدم,0,گسترانیده‌می‌شدی,0,گسترانیده‌می‌شد,0,گسترانیده‌می‌شدیم,0,گسترانیده‌می‌شدید,0,گسترانیده‌می‌شدند,0,
گستردن,197,گسترد,290,گسترده,67879,گستردم,9,گستردی,5,گسترد,290,گستردیم,10,گستردید,0,گستردند,49,می‌گستردم,0,می‌گستردی,0,می‌گسترد,60,می‌گستردیم,0,می‌گستردید,0,می‌گستردند,6,گسترده‌باشم,0,گسترده‌باشی,0,گسترده‌باش,0,گسترده‌باشیم,7,گسترده‌باشید,1,گسترده‌باشند,21,داشتم‌می‌گستردم,0,داشتی‌می‌گستردی,0,داشت‌می‌گسترد,0,داشتیم‌می‌گستردیم,0,داشتید‌می‌گستردید,0,داشتند‌می‌گستردند,0,گستر,1899,گسترم,1,گستری,705,گسترد,290,گستریم,2,گسترید,2,گسترند,16,می‌گسترم,1,می‌گستری,0,می‌گسترد,60,می‌گستریم,2,می‌گسترید,1,می‌گسترند,14,بگسترم,1,بگستری,1,بگسترد,64,بگستریم,4,بگسترید,1,بگسترند,16,دارم‌می‌گسترم,0,داری‌می‌گستری,0,دارد‌می‌گسترد,0,داریم‌می‌گستریم,0,دارید‌می‌گسترید,0,دارند‌می‌گسترند,0,گسترده‌ام,0,گسترده‌ای,272,گسترده‌است,1375,گسترده‌ایم,0,گسترده‌اید,0,گسترده‌اند,6,گسترده‌بودم,2,گسترده‌بودی,2,گسترده‌بود,536,گسترده‌بودیم,6,گسترده‌بودید,0,گسترده‌بودند,74,‌می‌گسترده‌ام,0,‌می‌گسترده‌ای,0,‌می‌گسترده‌است,0,‌می‌گسترده‌ایم,0,‌می‌گسترده‌اید,0,‌می‌گسترده‌اند,0,بگستر,10,گسترده‌شدم,0,گسترده‌شدی,0,گسترده‌شد,215,گسترده‌شدیم,1,گسترده‌شدید,2,گسترده‌شدند,17,گسترده‌می‌شدم,0,گسترده‌می‌شدی,0,گسترده‌می‌شد,0,گسترده‌می‌شدیم,0,گسترده‌می‌شدید,0,گسترده‌می‌شدند,0,
گستریدن,0,گسترید,2,گستریده,6,گستریدم,0,گستریدی,0,گسترید,2,گستریدیم,0,گستریدید,0,گستریدند,0,می‌گستریدم,0,می‌گستریدی,0,می‌گسترید,1,می‌گستریدیم,0,می‌گستریدید,0,می‌گستریدند,0,گستریده‌باشم,0,گستریده‌باشی,0,گستریده‌باش,0,گستریده‌باشیم,0,گستریده‌باشید,0,گستریده‌باشند,0,داشتم‌می‌گستریدم,0,داشتی‌می‌گستریدی,0,داشت‌می‌گسترید,0,داشتیم‌می‌گستریدیم,0,داشتید‌می‌گستریدید,0,داشتند‌می‌گستریدند,0,گستر,1899,گسترم,1,گستری,705,گسترد,290,گستریم,2,گسترید,2,گسترند,16,می‌گسترم,1,می‌گستری,0,می‌گسترد,60,می‌گستریم,2,می‌گسترید,1,می‌گسترند,14,بگسترم,1,بگستری,1,بگسترد,64,بگستریم,4,بگسترید,1,بگسترند,16,دارم‌می‌گسترم,0,داری‌می‌گستری,0,دارد‌می‌گسترد,0,داریم‌می‌گستریم,0,دارید‌می‌گسترید,0,دارند‌می‌گسترند,0,گستریده‌ام,0,گستریده‌ای,0,گستریده‌است,0,گستریده‌ایم,0,گستریده‌اید,0,گستریده‌اند,0,گستریده‌بودم,0,گستریده‌بودی,0,گستریده‌بود,1,گستریده‌بودیم,0,گستریده‌بودید,0,گستریده‌بودند,0,‌می‌گستریده‌ام,0,‌می‌گستریده‌ای,0,‌می‌گستریده‌است,0,‌می‌گستریده‌ایم,0,‌می‌گستریده‌اید,0,‌می‌گستریده‌اند,0,بگستر,10,گستریده‌شدم,0,گستریده‌شدی,0,گستریده‌شد,0,گستریده‌شدیم,0,گستریده‌شدید,0,گستریده‌شدند,0,گستریده‌می‌شدم,0,گستریده‌می‌شدی,0,گستریده‌می‌شد,0,گستریده‌می‌شدیم,0,گستریده‌می‌شدید,0,گستریده‌می‌شدند,0,
گسختن,0,گسخت,0,گسخته,1,گسختم,0,گسختی,0,گسخت,0,گسختیم,0,گسختید,0,گسختند,0,می‌گسختم,0,می‌گسختی,0,می‌گسخت,0,می‌گسختیم,0,می‌گسختید,0,می‌گسختند,0,گسخته‌باشم,0,گسخته‌باشی,0,گسخته‌باش,0,گسخته‌باشیم,0,گسخته‌باشید,0,گسخته‌باشند,0,داشتم‌می‌گسختم,0,داشتی‌می‌گسختی,0,داشت‌می‌گسخت,0,داشتیم‌می‌گسختیم,0,داشتید‌می‌گسختید,0,داشتند‌می‌گسختند,0,گسخ,0,گسخم,0,گسخی,0,گسخد,0,گسخیم,0,گسخید,0,گسخند,0,می‌گسخم,0,می‌گسخی,0,می‌گسخد,0,می‌گسخیم,0,می‌گسخید,0,می‌گسخند,0,بگسخم,0,بگسخی,0,بگسخد,0,بگسخیم,0,بگسخید,0,بگسخند,0,دارم‌می‌گسخم,0,داری‌می‌گسخی,0,دارد‌می‌گسخد,0,داریم‌می‌گسخیم,0,دارید‌می‌گسخید,0,دارند‌می‌گسخند,0,گسخته‌ام,0,گسخته‌ای,0,گسخته‌است,0,گسخته‌ایم,0,گسخته‌اید,0,گسخته‌اند,0,گسخته‌بودم,0,گسخته‌بودی,0,گسخته‌بود,0,گسخته‌بودیم,0,گسخته‌بودید,0,گسخته‌بودند,0,‌می‌گسخته‌ام,0,‌می‌گسخته‌ای,0,‌می‌گسخته‌است,0,‌می‌گسخته‌ایم,0,‌می‌گسخته‌اید,0,‌می‌گسخته‌اند,0,بگسخ,0,گسخته‌شدم,0,گسخته‌شدی,0,گسخته‌شد,0,گسخته‌شدیم,0,گسخته‌شدید,0,گسخته‌شدند,0,گسخته‌می‌شدم,0,گسخته‌می‌شدی,0,گسخته‌می‌شد,0,گسخته‌می‌شدیم,0,گسخته‌می‌شدید,0,گسخته‌می‌شدند,0,
گسستن,457,گسست,2700,گسسته,1427,گسستم,8,گسستی,312,گسست,2700,گسستیم,8,گسستید,2,گسستند,39,می‌گسستم,0,می‌گسستی,0,می‌گسست,8,می‌گسستیم,2,می‌گسستید,0,می‌گسستند,4,گسسته‌باشم,0,گسسته‌باشی,0,گسسته‌باش,0,گسسته‌باشیم,1,گسسته‌باشید,0,گسسته‌باشند,7,داشتم‌می‌گسستم,0,داشتی‌می‌گسستی,0,داشت‌می‌گسست,0,داشتیم‌می‌گسستیم,0,داشتید‌می‌گسستید,0,داشتند‌می‌گسستند,0,گسل,2073,گسلم,1,گسلی,152,گسلد,68,گسلیم,0,گسلید,1,گسلند,6,می‌گسلم,0,می‌گسلی,0,می‌گسلد,62,می‌گسلیم,0,می‌گسلید,0,می‌گسلند,6,بگسلم,10,بگسلی,4,بگسلد,163,بگسلیم,16,بگسلید,4,بگسلند,47,دارم‌می‌گسلم,0,داری‌می‌گسلی,0,دارد‌می‌گسلد,0,داریم‌می‌گسلیم,0,دارید‌می‌گسلید,0,دارند‌می‌گسلند,0,گسسته‌ام,0,گسسته‌ای,2,گسسته‌است,83,گسسته‌ایم,0,گسسته‌اید,0,گسسته‌اند,1,گسسته‌بودم,1,گسسته‌بودی,0,گسسته‌بود,45,گسسته‌بودیم,0,گسسته‌بودید,0,گسسته‌بودند,7,‌می‌گسسته‌ام,0,‌می‌گسسته‌ای,0,‌می‌گسسته‌است,0,‌می‌گسسته‌ایم,0,‌می‌گسسته‌اید,0,‌می‌گسسته‌اند,0,بگسل,16,گسسته‌شدم,0,گسسته‌شدی,0,گسسته‌شد,41,گسسته‌شدیم,0,گسسته‌شدید,0,گسسته‌شدند,4,گسسته‌می‌شدم,0,گسسته‌می‌شدی,0,گسسته‌می‌شد,0,گسسته‌می‌شدیم,0,گسسته‌می‌شدید,0,گسسته‌می‌شدند,0,
